"ID_GUID";"Nome_Modelo";"Fabricante";"Potencia_Nominal_W";"Tensao_Bateria_V";"Capacidade_Bateria_Ah";"Tensao_AC_V";"Descricao_Detalhada"
"2b5f9d9d-2176-42b0-be3d-e4fc155f0f05";"SUN-12K-SG01LP3";"N/A";;;;;"Sunsynk 10KW Hybrid Inverter Three Phase"
"86d80262-2804-4770-9d03-2a9035140ef8";"SUN-15K-SG01HP3-EU-AM2";"N/A";;;;;"SUN-15K-SG01HP3-EU-AM2 HV Hybrid inverter"
"c5e5c340-f2b7-444e-bace-0fa12507badb";"SUN-16K-SG01LP1";"N/A";;;;;"SUN-16K-SG01LP1 Sunsynk 16KW Hybrid Inverter"
"fa237b8f-a25f-492c-b6d9-473631c8a7cb";"SUN-20K-SG01HP3-EU-AM2";"N/A";;;;;"SUN-20K-SG01HP3-EU-AM2 HV Hybrid inverter"
"a482e8cb-6736-4cba-9139-c0f63948dc21";"SUN-25K-SG01HP3-EU-AM2";"N/A";;;;;"SUN-25K-SG01HP3-EU-AM2 HV Hybrid inverter"
"c57b3c7c-49fa-4cd1-ae75-6b01ca4a8553";"SUN-29.9K-SG01HP3-EU-BM3";"N/A";;;;;"SUN-29.9K-SG01HP3-EU-BM3 HV Hybrid inverter"
"a1c5f310-6809-4f0a-bb63-c29da9e7a7cb";"SUN-30K-SG01HP3-EU-BM3";"N/A";;;;;"SUN-30K-SG01HP3-EU-BM3 HV Hybrid inverter"
"3cc85834-2e67-4511-b9d3-7d8118eb0877";"SUN-35K-SG01HP3-EU-BM3";"N/A";;;;;"SUN-35K-SG01HP3-EU-BM3 HV Hybrid inverter"
"eac0fe14-87f2-4007-9b7d-36473f77fd4c";"SUN-40K-SG01HP3-EU-BM4";"N/A";;;;;"SUN-40K-SG01HP3-EU-BM4 HV Hybrid inverter"
"85595885-4a09-41a7-a508-3f0369e203f4";"SUN-50K-SG01HP3-EU-BM2";"N/A";;;;;"SUN-50K-SG01HP3-EU-BM2 HV Hybrid inverter"
"1cc31402-ab7b-4d3d-b835-8724ba3f8704";"SUN-6K-SG01HP3-EU-AM2";"N/A";;;;;"SUN-6K-SG01HP3-EU-AM2 HV Hybrid inverter"
"a1dbcd54-7c3f-48bf-ab0a-9cdcf36f7d03";"SUN-8K-SG01HP3-EU-AM2";"N/A";;;;;" SUN-8K-SG01HP3-EU-AM2 HV Hybrid inverter"
"832f3c92-9c1a-42ba-ad79-7f5522c032cc";"SUN-8K-SG01LP3";"N/A";;;;;"Sunsynk 8KW Hybrid Inverter Three Phase"
