Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,156-183.75 QNHT-6 620W (N type qrystal Mono-Crystalline),620,"55,6","14,11","47,18","13,14"
N/A,160-M,160,"44,3","5,37","34,8","4,6"
N/A,165-M,165,"44,4","5,39",35,"4,7"
N/A,165 M I I,165,43,"5,29",35,"4,71"
N/A,170-M,170,"44,5","5,41","35,2","4,85"
N/A,175-M,175,"44,6","5,43","35,4","4,95"
N/A,175 M,175,44,"5,4","35,7","4,9"
N/A,175 M I I,175,43,"5,61",35,5
N/A,180-48/6PA,180,"29,5",8,"24,1","7,4"
N/A,180-48/6PA 185 Wp,185,"29,8",8,"24,6","7,5"
N/A,180-48/6PA Q-Cells 175 Wp,175,"29,2",8,23,"7,4"
N/A,180-M,180,"44,7","5,45","35,6","5,11"
N/A,185-M,185,"44,8","5,48","35,8","5,2"
N/A,185 W Module,185,"30,4","8,15","24,1","7,68"
N/A,185Wp,185,"29,8","8,1","24,8","7,7"
N/A,190w Mono,204,"44,8","5,8","36,6","5,6"
N/A,190Wp Monocrystalline PV Module (ZKX-190D-24),190,"44,8","5,55","36,6","5,2"
N/A,195W,195,"45,5","5,4","37,9","5,16"
N/A,195Wp Monocrystalline PV Module (ZKX-195D-24),195,"44,9","5,61","36,7","5,32"
N/A,1KOMMA5°-FullBlack-DG-01-445,445,"39,2","14,19","33,22","13,4"
N/A,1KOMMA5°-FullBlack-DG-01-450,450,"39,4","14,28","33,39","13,48"
N/A,1KOMMA5°-TC/FB/B-02-450,450,"40,25","14,17","33,91","13,27"
N/A,1KOMMA5° Module FullBlack 415W ,415,"37,8","13,76","31,76","13,06"
N/A,1KOMMA5° Module FullBlack 420W ,420,38,"13,87","31,93","13,15"
N/A,1KOMMA5° Module FullBlack 425W ,425,"38,2","13,98","32,1","13,24"
N/A,1Power 295 Mono Black,295,"39,15","9,66","32,52","9,07"
N/A,1Power 325  Mono Black GG,325,"40,41","10,31","33,85","9,6"
N/A,1Power 430 Mono Black GG,430,"38,07",14,"32,49","13,24"
N/A,200 CAAP Gen 2,200,"35,99","7,65","28,81","6,97"
N/A,200 P Gen 1,200,36,"7,77","30,14","6,68"
N/A,200 Wp - Si monocrystalline,200,"35,8","7,98","28,8","6,94"
N/A,200 Wp - Si polycrystalline,200,"36,1","7,7","28,3","7,07"
N/A,200W module,200,"33,5","8,25",26,"7,7"
N/A,205 CAAP Gen 2,205,"35,92","7,71","28,9","7,11"
N/A,20x2M - 140Wp M10 Hybrid,140,"28,01","6,25","23,64","5,91"
N/A,20x3M - 210Wp M10 HYBRID MODUL,210,42,"6,25","35,46","5,91"
N/A,20x4M - 280Wp M10 HYBRID MODUL,280,28,"12,49","23,64","11,83"
N/A,210 CAAP Gen 2,210,"36,02","7,85","29,12","7,21"
N/A,210 P Gen 1,210,"36,03","7,79","29,52","7,16"
N/A,210 Wp,210,"36,5","8,15","28,2","7,45"
N/A,210PIIIH,210,"36,5","7,93","28,6","7,34"
N/A,215 CAAP Gen 2,215,"36,21","7,93","29,21","7,36"
N/A,215 Wp,215,"36,6","8,2","28,5","7,55"
N/A,220 CAAP Gen 2,220,"36,46",8,"29,42","7,47"
N/A,220PIIIH,220,"36,5","8,31","28,6","7,69"
N/A,225 CAAP Gen 2,225,"36,85","8,09","29,8","7,55"
N/A,22x5M - 380Wp M10,380,"38,5","12,49","32,51","11,83"
N/A,230-60/6PA 225 Wp,225,"37,1",8,"29,9","7,5"
N/A,230-60/6PA 230 Wp,230,"37,4","8,1","30,3","7,6"
N/A,230-60/6PA 235 Wp,235,"38,5","8,2","30,6","7,7"
N/A,230 CAAP Gen 2,230,"37,11","8,18","30,12","7,62"
N/A,230+,230,"36,81","8,51","29,45","7,81"
N/A,230Wp Polycrystalline PV Module (ZKX-230P-24),230,"36,8","7,9","30,9","7,43"
N/A,235 CAAP Gen 2,235,"37,34","8,24","30,59","7,68"
N/A,235w poly,235,"36,9","8,4","29,2",8
N/A,235Wp Polycrystalline PV Module (ZKX-235P-24),235,"36,9","7,94","31,6","7,52"
N/A,240 CAAP Gen 2,240,"37,69","8,34","30,8","7,8"
N/A,240 Wp Mono-crystalline (ZKX-240D-24),240,37,"8,65","31,1","7,73"
N/A,240W ,240,"58,2","5,56","46,8","5,13"
N/A,240Wp Polycrystalline PV Module (ZKX-240P-24),240,37,"8,14","31,6","7,59"
N/A,245 W mono,"245,3","37,2","8,9","29,3","8,36"
N/A,245 Wp Polycrystalline Module (ZKX-245P-24),245,"37,1","8,29","31,9","7,68"
N/A,245M30V,245,"37,2","8,66","30,3","8,08"
N/A,250 Wp Polycrystalline (ZKX-250P-24),250,"37,2","8,46",32,"7,81"
N/A,250M30V,250,"37,3","8,79","30,5","8,2"
N/A,250W ,250,"59,7","5,58","47,2","5,3"
N/A,250W mono,250,"37,23","8,83","29,96","8,33"
N/A,250Wp Monocrystalline PV Module (ZKX-250D-24),250,"37,2","8,46",32,"7,81"
N/A,255 Wp Polycrystalline (ZKX-255P-24),255,"37,3","8,6","32,1","7,95"
N/A,255M30V,255,"37,3","8,9","30,7","8,3"
N/A,260 Watt Modul,260,"59,4","5,8","49,4","5,27"
N/A,260 Wp - Si polycrystalline,260,"38,4","8,97","31,4","8,37"
N/A,260M30V,260,"37,3","9,01","30,9","8,41"
N/A,260SBa/b,255,"62,3","5,45","51,5","4,96"
N/A,260W,260,"60,7","5,59","48,4","5,37"
N/A,270 W Polycrystalline (ZKX-270P-24),270,44,"8,2",36,"7,5"
N/A,270W ,270,"61,5","5,58","49,28","5,48"
N/A,280 W Polycrystalline (ZKX-280P-24),280,"44,3","8,37","36,4","7,69"
N/A,280 Wp - Si monocrystalline - bifacial,280,"39,5","9,49","31,8","8,95"
N/A,290W Polycrystalline  (ZKX-290P-24),290,"44,6","8,54","36,9","7,86"
N/A,2Power HM 1095 Mono Black,295,"39,15","9,66","32,52","9,07"
N/A,2Power HM 2325 NI Mono Black GG,325,"40,41","10,31","33,85","9,6"
N/A,2Power HM 2425 NI Mono Black GG,425,"37,75","13,99","32,22","13,19"
N/A,2Power HM 2430 NI Mono Black GG,430,"38,07",14,"32,49","13,24"
N/A,300 W Polycrystalline (ZKX-300P-24),300,"44,9","8,7","37,3","8,04"
N/A,300 Wp - Si monocrystalline,300,40,"9,83","32,6","9,31"
N/A,300+,300,"48,95","8,47","39,23","7,65"
N/A,315+,315,"49,55","8,62","39,8","7,92"
N/A,325+,325,"49,95","8,72","40,18","8,09"
N/A,36 Wp - Si monocrystalline,36,"22,9","2,68","15,8","2,28"
N/A,360M 250P-60-3BB,250,"37,66","8,92","29,94","8,35"
N/A,37 W Module,37,21,"2,4","16,4","2,25"
N/A,3BB-TS-250-P,250,"37,68","8,76","30,06","8,32"
N/A,3BUSBAR-SE6S60 SE-S250,250,"37,7","8,85","30,2","8,28"
N/A,3S Solargeländer Typ L,196,"26,9","9,5","21,9","9,1"
N/A,3S Solargeländer Typ M,148,"20,2","9,5","16,5","9,1"
N/A,40 Wp - Si amorphous,40,59,"1,17",44,"0,92"
N/A,40 Wp - Si monocrystalline,40,"20,5","2,9",16,"2,5"
N/A,40 Wp - Si polycrystalline,40,"21,8","2,5","17,3","2,3"
N/A,400 Wp - Si monocrystalline - HC,400,"36,98","13,78","32,2","12,4"
N/A,410W Solar Panel,410,"37,45","13,85","31,46","13,04"
N/A,450w half-mono panel,450,"49,3","11,6","41,5","10,85"
N/A,5% (Transmittance Rate),51,"91,8","1,11","65,9","0,77"
N/A,50 W Module,"52,6",28,"3,2","19,5","2,7"
N/A,545w mono-half panel,545,49,"13,9","41,9",13
N/A,600 Wp - Si monocrystalline - 1500 V,600,"41,5","18,52","34,4","17,44"
N/A,665W Mono half solar panel,665,"45,8","18,5",38,"17,5"
N/A,6PT6A255,255,"38,05","8,49","32,06","7,96"
N/A,6T 240,240,"36,8","8,7",30,8
N/A,6T 245,245,"37,26","8,71","30,03","8,18"
N/A,6T 250,250,"37,4","8,72","30,3","8,22"
N/A,6T 255,255,"37,5","8,86","30,65","8,32"
N/A,6x1M - 30Wp M3,30,"4,12","9,28","3,41","8,86"
N/A,6x1M FJB - 25Wp,25,4,"9,07","2,86","8,75"
N/A,6x2M - 55Wp,55,"7,99","9,07","6,29","8,75"
N/A,6x2M - 60Wp M3,60,"8,25","9,28","6,83","8,86"
N/A,6x2M FJB - 55Wp,55,"7,99","9,07","6,29","8,75"
N/A,6x3M - 80Wp,80,"11,99","9,07","9,14","8,75"
N/A,6x3M - 90Wp M3,90,"12,38","9,28","10,25","8,86"
N/A,6x3M FJB - 80Wp,80,"11,99","9,07","9,14","8,75"
N/A,6x4M - 115Wp,115,"15,99","9,07","13,14","8,75"
N/A,6x4M - 120Wp M3,120,"16,5","9,28","13,67","8,86"
N/A,6x4M FJB - 115Wp,115,"15,99","9,07","13,14","8,75"
N/A,6x5M - 145Wp,145,"19,99","9,07","16,57","8,75"
N/A,6x5M - 150Wp M3,150,"20,63","9,07","17,09","8,75"
