Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,Orion III - 465M,465,"40,38","14,2","33,83","13,75"
N/A,OS100P,100,"21,36","6,26","17,8","5,62"
N/A,OS10P,10,20,"0,67","16,5","0,61"
N/A,OS150P,150,"21,17","9,51","17,64","8,51"
N/A,OS20P,20,"22,14","1,16","18,6","1,08"
N/A,OS230P,230,"37,31","8,19","29,8","7,72"
N/A,OS235P,235,"37,2","8,47",30,"7,83"
N/A,OS240P,240,"37,2","8,65",30,8
N/A,OS240P,240,"37,2","8,65",30,8
N/A,OS245P,245,"37,2","8,74",30,"8,17"
N/A,OS250M,250,"38,1","8,8","30,7","8,15"
N/A,OS250P,250,"37,8","8,87","30,5","8,2"
N/A,OS250P,250,"37,8","8,87","30,5","8,2"
N/A,OS255M,255,"38,1","8,97","30,7","8,31"
N/A,OS255P,255,"37,8","8,88","30,5","8,36"
N/A,OS260M,260,"38,1","9,14","30,7","8,47"
N/A,OS260P,260,"37,8","9,22","30,5","8,52"
N/A,OS260P,260,37,"9,35",31,"8,41"
N/A,OS265M,265,39,"9,31","30,8","8,69"
N/A,OS265P,265,"37,95","9,15",31,"8,55"
N/A,OS270M,270,"39,2","9,44","30,9","8,81"
N/A,OS270P,270,"37,3","9,5","31,2","8,67"
N/A,OS275M,275,"39,4","9,58",31,"8,94"
N/A,OS280M,280,"39,5","9,71","31,2","9,07"
N/A,OS280P,280,"37,7","9,7","31,32","8,94"
N/A,OS290M,290,"39,6","9,84","31,6","9,18"
N/A,OS290P,290,"43,7","8,93",36,"8,06"
N/A,OS295P,295,"44,3","8,94","36,05","8,2"
N/A,OS300M,300,"39,8","9,98",32,"9,4"
N/A,OS300P,300,"44,7",9,"36,1","8,32"
N/A,OS305P,305,45,"9,1","36,13","8,46"
N/A,OS30P,30,"21,17","1,9","17,65","1,7"
N/A,OS310P,310,45,"9,2","36,2","8,58"
N/A,OS50P,50,"21,26","3,17","17,72","2,83"
N/A,OS80P,80,"21,33","5,03","17,78","4,5"
N/A,OSDA ODA200-36-M,200,"45,48","5,89","37,29","5,36"
N/A,OSDA ODA400-36-MH,400,"49,44","10,45","40,36","9,92"
N/A,OSDA ODA450-36-MH,450,"50,22","11,48","41,4","10,87"
N/A,OSDA ODA455-36V-MHT,455,"49,8","11,65","41,6","10,93"
N/A,OSDA ODA540-36-MH,540,"49,7","13,72","41,76","12,93"
N/A,OSDA ODA545-36-MH,545,"49,9","13,8","41,93",13
N/A,OSM-60-M230 EU,230,"36,5","8,3","29,5","7,9"
N/A,OSM-60-M235-EU,235,"36,6","8,4","29,6","8,05"
N/A,OSM-60-M240 EU,240,"36,7","8,5","29,7","8,15"
N/A,OSM-60-M245 EU,245,"36,8","8,6","29,8","8,25"
N/A,OSM-60-M250 EU,250,"36,9","8,7","29,9","8,35"
N/A,OSM-60-P225 EU,225,"37,05","8,2","29,21","7,7"
N/A,OSM-60-P230 EU,230,"37,09","8,3","29,44","7,81"
N/A,OSM-60-P235 EU,235,"37,15","8,3","29,65","7,93"
N/A,OSM-60-P235 ST,235,"36,9","8,47","29,8","7,89"
N/A,OSM-60-P240 EU,240,"37,21","8,4","29,95","8,01"
N/A,OSM-60-P240 ST,240,"37,2","8,56",30,"8,01"
N/A,OSM-60-P245 EU,245,"37,25","8,4","30,2","8,11"
N/A,OSM-60-P245 ST,245,"37,4","8,69","30,2","8,12"
N/A,OSM-60-P250 ST,250,"37,6","8,81","30,4","8,23"
N/A,OSM-60-P260 ST,260,"43,9","8,3",35,"7,43"
N/A,OSM-60-P265 ST,265,"44,1","8,42","35,1","7,55"
N/A,OSM-60-P265 ST,265,"44,1","8,42","35,1","7,55"
N/A,OSM-60-P270 ST,270,"44,2","8,59","35,2","7,67"
N/A,OSM-60-P275 ST,275,"44,4","8,7","35,4","7,77"
N/A,OSM-60-P280 ST,280,"44,5","8,81","35,5","7,89"
N/A,OSM-60-P285 ST,285,"44,7","8,85",36,"7,92"
N/A,OSM-60-P290 ST,290,"44,9","8,89","36,4","7,97"
N/A,OSM-60-P295 ST,295,"45,2","8,95","36,8","8,02"
N/A,OSM-60-P300 ST,300,"45,4","8,98","37,2","8,07"
N/A,OSM-60Q-P235 EU,235,"37,2","8,6","29,5","8,1"
N/A,OSM-60Q-P240 EU,240,"37,35","8,75","29,6","8,2"
N/A,OSM-60Q-P245 EU,245,"37,5","8,85","29,75","8,3"
N/A,OSM-60Q-P250 EU,250,"37,75","8,95","29,9","8,45"
N/A,OSM-60Q-P255 EU,255,38,9,30,"8,55"
N/A,OSM-P000,240,"37,21","8,4","29,95","8,01"
N/A,OSM-P000,245,"37,25","8,4","30,2","8,11"
N/A,OSMP315,317,"40,07","10,01","33,4","9,5"
N/A,OSMP320,320,"40,9","10,15","33,4","9,59"
N/A,OSMP370,371,"48,4","9,6",40,"9,28"
N/A,OSMP380,380,"48,9","9,75","40,5","9,39"
N/A,OSP275,278,"38,33","9,23","31,46","8,85"
N/A,P-Serie 290W,290,"39,42","9,6","31,49","9,21"
N/A,P-series 215,215,"36,3","8,2","28,5","7,55"
N/A,P-series 220,220,"36,4","8,3","28,8","7,65"
N/A,P-series 225,225,"36,55","8,4","28,9","7,8"
N/A,P-series 230,230,"36,7","8,55",29,"7,95"
N/A,P-series 250,250,37,"9,12",30,"8,3"
N/A,P 110,110,131,"1,45",96,"1,15"
N/A,P 115,115,132,"1,48",97,"1,2"
N/A,P 120,120,132,"1,52",98,"1,24"
N/A,P 125,125,132,"1,55",98,"1,28"
N/A,P 150,150,44,"4,8","34,2","4,4"
N/A,P 160,160,"43,4","4,87",36,"4,5"
N/A,P 500 A,50,"21,1","3,2","17,2","2,9"
N/A,P 500 D,95,21,"6,4",17,"5,6"
N/A,P 510 A,45,21,"3,15","16,9","2,65"
N/A,P 80,80,"21,7","4,87",18,"4,5"
N/A,P Serie 260W,260,"37,9","9,09","30,8","8,44"
N/A,P Serie 265W,265,"38,1","9,2",31,"8,55"
N/A,P Serie 270W,270,"38,59","9,25","30,62","8,82"
N/A,P Serie 275W,275,"38,8","9,33","30,83","8,92"
N/A,P Serie 280W,280,"39,01","9,43","31,08","9,01"
N/A,P Serie 285W,285,"39,12","9,51","31,25","9,12"
N/A,P200Wp,200,36,"7,31","29,28","6,83"
N/A,P210Wp,210,36,"7,67","29,28","7,17"
N/A,P220Wp,220,36,"8,03","29,28","7,51"
N/A,P230,230,"36,9","8,27",30,"7,67"
N/A,P230-S,230,"37,2","8,59","29,9","7,69"
N/A,P230Wp,230,40,"8,2","30,3","7,6"
N/A,P235,235,37,"8,35","30,1","7,81"
N/A,P240,240,"37,1","8,42","30,3","7,92"
N/A,P6 205,205,"33,13","8,25","26,83","7,64"
N/A,P6 210,210,"33,21","8,57","26,32","7,98"
N/A,P6 215,215,"33,32","8,63","26,58","8,09"
N/A,P6 230,230,"36,9","8,31","30,2","7,62"
N/A,P6 235,235,"36,9","8,57","29,45","7,98"
N/A,P6 240,240,"37,14","8,68","29,67","8,08"
N/A,P6 245,245,"37,3","8,73","29,9","8,19"
N/A,P6 250,250,"37,4","8,86","30,1","8,31"
N/A,P6 255,255,"37,5","8,86","30,4","8,39"
N/A,P6 275,275,"45,07","8,2","35,84","7,67"
N/A,P6 280,280,"44,14","8,51","35,09","7,98"
N/A,P6 285,285,"44,28","8,57","35,44","8,04"
N/A,Pallium 85,85,"70,4","1,74","55,28","1,58"
N/A,Pallium 90,90,"71,26","1,79","55,96","1,63"
N/A,PC250,250,"37,89","8,73","30,15","8,29"
N/A,PC255,255,"37,6","8,76","30,8","8,28"
N/A,PC265,265,"38,17","9,02","30,97","8,58"
N/A,PC270,270,"38,39","9,15","31,04","8,73"
N/A,PC280,280,"38,69","9,59","31,2","8,99"
N/A,PC290,290,"39,18","9,75","31,55","9,2"
N/A,PD235,235,"37,38","8,39","29,55","7,95"
N/A,PD240,240,"37,55","8,47","29,75","8,07"
N/A,PD245,245,"37,72","8,53","29,95","8,18"
N/A,PEAK ON M240-60 BLACK (230 Wp),230,"36,54","8,58","29,39","7,92"
N/A,PEAK ON M240-60 BLACK (235 Wp),235,"36,9","8,66","29,61","8,02"
N/A,PEAK ON M240-60 BLACK (240 Wp),240,"37,26","8,74","29,92","8,11"
N/A,PEAK ON M240-60 BLACK (245 Wp),245,"37,39","8,81","30,25","8,18"
N/A,PEAK ON M240-60 BLACK (250 Wp),250,"37,46","8,95","30,75","8,21"
N/A,PEAK ON P220-60 (205Wp),205,"36,2","7,63","29,22","7,01"
N/A,PEAK ON P220-60 (210Wp),210,"36,74","8,09","29,11","7,31"
N/A,PEAK ON P220-60 (215Wp),215,"36,76","8,17","29,17","7,46"
N/A,PEAK ON P220-60 (220Wp),220,"36,77","8,22","29,24","7,61"
N/A,PEAK ON P220-60 (225Wp),225,"36,79","8,34","29,38","7,75"
N/A,PEAK ON P220-60 (230Wp),230,"36,97","8,37","29,61","7,86"
N/A,PEAK ON P220-60 (235Wp),235,"37,2","8,39","29,92","7,94"
N/A,PEAK ON P220-60 (240Wp),238,"37,42","8,41","30,21","8,03"
N/A,PEAK ON P235-60 (220 Wp),220,"36,49","8,2","29,2","7,62"
N/A,PEAK ON P235-60 (225 Wp),225,"36,68","8,36","29,38","7,75"
N/A,PEAK ON P235-60 (230 Wp),230,"37,11","8,39","29,81","7,8"
N/A,PEAK ON P235-60 (235 Wp),235,"37,21","8,48","30,19","7,87"
N/A,PEAK ON P235-60 (240 Wp),240,"37,43","8,59","30,67","7,91"
N/A,PEAK ON P235-60 (245 Wp),245,"37,51","8,74","31,02","7,98"
N/A,PEAK ON P235-60 (250 Wp),250,"37,78","8,85","31,49","8,02"
N/A,peakpower 60 210 Wp,210,"36,35","7,77","29,55","7,12"
N/A,peakpower 60 215 Wp,215,"36,65","7,8","29,9","7,2"
N/A,peakpower 60 220 Wp,220,"36,9","7,85","30,2","7,28"
N/A,peakpower 60 225 Wp,225,37,"7,89","30,5","7,37"
N/A,peakpower 60 230 Wp,230,"37,32",8,"30,84","7,48"
N/A,PEG 180 S,180,"37,5","6,9",30,6
N/A,PEG 190 S,190,38,7,"30,4","6,25"
N/A,PEM-160/170-72M,170,"44,3","5,12","35,6","4,77"
N/A,PEM-160/175-72M,175,"44,6","5,2","35,9","4,88"
N/A,PEM-160/180-72M,180,"44,7","5,28","36,3","4,95"
N/A,PEM-180/180-72M-SCC,180,"44,8","5,29","36,4","4,95"
N/A,PEM-180/185-72M-SCC,185,45,"5,37","36,7","5,05"
N/A,PEM-180/190-72M-SCC,190,"45,4","5,51","36,9","5,16"
N/A,PEM-230/210-60P,210,36,"8,1","28,4","7,4"
N/A,PEM-230/220-60P,220,"36,5","8,21","28,8","7,65"
N/A,PEM-230/230-60P,230,"36,7","8,35","29,1","7,9"
N/A,PEM-230/240-96M,240,"59,7","5,28","48,5","4,95"
N/A,PEM-230/250-96M,250,"60,3","5,31","49,8","5,02"
N/A,PEM-230/260-96M,260,"60,6","5,35",51,"5,09"
N/A,PEM.BB-400,400,"36,71","13,57","30,87","12,96"
N/A,PEM.BB-445,445,"41,01","13,59","34,31","12,97"
N/A,PEM.TB-405,405,"36,84","13,65","30,92","13,1"
N/A,PEM.TS-455,455,"41,49","13,69","34,85","13,06"
N/A,PEM.WB-405,405,"36,84","13,65","30,92","13,1"
N/A,PEM.WB-450,450,"41,29","13,59","34,62",13
N/A,PEM.WB-455,455,"41,49","13,69","34,85","13,06"
N/A,PEM.WS-450,450,"41,29","13,59","34,62",13
N/A,PEM.WS-455,455,"41,49","13,69","34,85","13,06"
N/A,PEPV 190,190,"35,75","7,29","28,25","6,66"
N/A,PEPV_48 180,180,"29,4","8,38","22,99","7,83"
N/A,PEPV_48 190,190,"29,6","8,64","23,4","8,12"
N/A,PEPV_48 200,200,"30,1","8,84","23,89","8,37"
N/A,PEPV_60 200,200,"36,12","7,72","28,05","7,13"
N/A,PEPV_60 210,210,"36,6","7,89","28,69","7,32"
N/A,PEPV_60 220,220,"37,03","8,04","29,5","7,47"
N/A,PEPV_60 230,230,"37,88","8,15","29,91","7,69"
N/A,PEPV_60 255,255,"37,94","8,76","30,7","8,31"
N/A,PEPV_60 260,260,"38,1","8,82","30,83","8,43"
N/A,PEPV_60 265,265,"38,4","8,98","30,96","8,56"
N/A,PEPV_60 270,270,"38,61","9,12","31,36","8,61"
N/A,PEPV_60 270,270,"39,22","9,12","31,65","8,61"
N/A,PEPV_60 275,275,"38,69","9,16","31,5","8,73"
N/A,PEPV_60 280,280,"39,1","9,25","31,65","8,85"
N/A,PEPV_60 285,285,"39,38","9,31","31,77","8,97"
N/A,PEPV_72 280,280,"44,71","8,4","35,9","7,8"
N/A,PEPV_72 290,290,"45,19","8,47","36,39","7,97"
N/A,PEPV_72 300,300,"45,58","8,63","36,9","8,13"
N/A,PEPV_72 305,305,"45,76","8,8","37,06","8,23"
N/A,PEPV_72 310,310,46,"8,86","37,26","8,32"
N/A,PEPV_72 320,320,"46,28","9,05","37,69","8,49"
N/A,PEPV_72 325,325,"45,6","9,2","37,27","8,72"
N/A,PEPV_72 330,330,"45,8","9,29","37,46","8,81"
N/A,PEPV_72 335,335,46,"9,36","37,79","8,86"
N/A,PEPV_72 340,340,"46,2","9,43","37,82","8,99"
N/A,Performance PERC 420,420,"38,21","13,6","32,35","12,98"
N/A,Performance TOPCon 450,450,"39,97","13,94","33,18","13,57"
N/A,PERLIGHT PLM-185/24,185,"44,6","5,46","36,78","5,03"
N/A,PFV 210,210,"36,1","7,99","28,3","7,42"
N/A,PFV 220,220,"36,8","8,08","29,2","7,53"
N/A,PH-100P-24 EU,100,"14,92","8,59","12,49","8,04"
N/A,PH-105M-24 EU,105,"15,3","9,02","12,9","8,47"
N/A,PH-125P-30 EU,125,"18,66","8,59","15,58","8,04"
N/A,PH-135M-30 EU,135,"19,13","9,02","16,1","8,47"
N/A,PH-150P-36 EU,150,"22,39","8,59","18,73","8,04"
N/A,PH-160M-36 EU,160,"22,95","9,02","19,41","8,47"
N/A,PH-175P-42 EU,175,"26,12","8,59","21,86","8,04"
N/A,PH-190M-42 EU,190,"26,78","9,02","22,63","8,47"
N/A,PH-200P-48 EU,200,"29,85","8,59","24,98","8,04"
N/A,PH-215M-48 EU,215,"30,6","9,02","25,86","8,47"
N/A,PH-225P-54 EU,225,"33,58","8,59","28,1","8,04"
N/A,PH-230P-60 (STN),230,"37,1","8,34","29,4","7,84"
N/A,PH-235P-60 EU,235,"37,2","8,32","30,52","7,8"
N/A,PH-240M-54 EU,240,"34,43","9,02","28,92","8,47"
N/A,PH-240P-60 EU,240,"37,41","8,39","30,71","7,91"
N/A,PH-245P-60 (HDS),245,"37,1","8,74",30,"8,17"
N/A,PH-245P-60 EU,245,"37,61","8,5","30,9","8,03"
N/A,PH-250P-60 (HDS),250,"37,2","8,85",30,"8,2"
N/A,PH-250P-60 DE,250,"38,1","8,5","31,6",8
N/A,PH-250P-60 EU,250,"37,8","8,6","31,17","8,12"
N/A,PH-255M-60 EU,255,"37,7","9,05","30,77","8,35"
N/A,PH-260M-60 EU,260,"37,78","9,12","31,38","8,38"
N/A,PH-260P-60 DE,260,"38,3","8,75","31,8","8,25"
N/A,PH-265M-60 EU,265,"37,9","9,2","31,9","8,4"
N/A,PH-270M-60 EU,270,"38,47","9,25","32,4","8,45"
N/A,PH-270P-60 DE,270,"38,5","9,09",32,"8,45"
N/A,PH-275M-60 EU,275,"38,56","9,28","32,8","8,5"
N/A,PH-280M-60 DE,280,39,"9,35","32,4","8,7"
N/A,PH-280M-60 DE - Full Black,280,39,"9,35","32,4","8,7"
N/A,PH-280M-60 EU,280,"38,61","9,31","32,92","8,56"
N/A,PH-75P-18 EU,75,"11,19","8,59","9,35","8,04"
N/A,PH-80M-18 EU,80,"11,48","9,02","9,72","8,47"
N/A,PHX-120-LV,121,"59,2","3,34",45,"2,69"
N/A,PHX-170,170,"29,3","8,04","23,2","7,33"
N/A,PHX-210,210,"36,4","8,03","28,8","7,3"
N/A,PHX-90,90,"65,2","2,11","49,3","1,83"
N/A,PK 230-60,230,"37,32","8,34","29,75","7,72"
N/A,PL 120,120,"37,5","4,5","30,4",4
N/A,PL 120 B,115,"37,2","4,4","29,6","3,88"
N/A,PL 160,137,"42,5","4,55","33,6","4,08"
N/A,PL 800,72,"21,2","4,5","17,2","4,2"
N/A,PL 800 D,140,"21,1",9,17,"8,25"
N/A,PL 810,67,21,"4,4","16,9",4
N/A,Planum ECO PV 92Wp,92,"12,3","9,4","10,3",9
N/A,Planum Generon,16,"2,69","8,05","2,2","7,27"
N/A,Planum PV,200,"36,1","7,7","28,3","7,07"
N/A,Planum PV 73Wp rot,73,"12,24","7,59","10,17","7,21"
N/A,Planum PV 90Wp,90,"11,97","9,7","10,02","9,01"
N/A,Planum PV 93Wp,93,"8,63","13,42","7,33","12,7"
N/A,Planum PV 95Wp,95,"12,3","9,4","10,5","8,9"
N/A,Planum PV 97Wp,97,"8,88","13,61","7,45","13,02"
N/A,Planum PV XS 24Wp rot,"24,5","4,08","7,59","3,4","7,21"
N/A,Planum PV XS 29Wp,29,"3,95","9,62","3,29","8,92"
N/A,Planum PV XS 46Wp,46,"4,31","13,42","3,62","12,7"
N/A,Planum PV XS 48Wp,48,"4,44","13,89","3,65","13,14"
N/A,Planum PV88,88,"11,9","9,8","9,87","8,97"
N/A,PLD,26,23,"1,9","16,5","1,58"
N/A,PLM-125MB-24 IRT,125,"16,22","9,79","13,33","9,38"
N/A,PLM-185/24,185,"44,6","5,46","36,8","5,03"
N/A,PLM-240/24,240,"36,9","8,73","30,72","7,81"
N/A,PLM-250M-60,250,38,"8,78","30,49","8,2"
N/A,PLM-250MB-60,250,38,"8,78","30,49","8,2"
N/A,PLM-250MB-60,250,38,"8,78","30,49","8,2"
N/A,PLM-255M-60,255,"38,1","8,84","30,92","8,25"
N/A,PLM-255MB-60,255,"38,1","8,84","30,92","8,25"
N/A,PLM-255P-60,255,"37,83","8,97","30,29","8,42"
N/A,PLM-255PB-60,255,"37,83","8,97","30,29","8,42"
N/A,PLM-260M-60,260,"38,2","8,92","31,18","8,34"
N/A,PLM-260MB-60,260,"38,2","8,92","31,18","8,34"
N/A,PLM-260P-60,260,"37,97","9,05","30,63","8,49"
N/A,PLM-260PB-60,260,"37,97","9,05","30,63","8,49"
N/A,PLM-265M-60,265,"38,31","8,99","31,48","8,42"
N/A,PLM-265MB-60,265,"38,31","8,99","31,48","8,42"
N/A,PLM-265P-60,265,"38,13","9,1","30,96","8,56"
N/A,PLM-265P-60,265,"38,13","9,1","30,96","8,56"
N/A,PLM-265P-60,265,"38,13","9,1","30,96","8,56"
N/A,PLM-265PB-60,265,"38,13","9,1","30,96","8,56"
N/A,PLM-270M-60,270,"38,42","9,08","31,73","8,51"
N/A,PLM-270MB-60,270,"38,42","9,08","31,73","8,51"
N/A,PLM-270P-60,270,"38,23","9,13","31,22","8,65"
N/A,PLM-270PB-60,270,"38,23","9,13","31,22","8,65"
N/A,PLM-275M-60,275,"39,11","9,16","31,44","8,75"
N/A,PLM-275MB-60,275,"39,11","9,16","31,44","8,75"
N/A,PLM-275MB-60,275,"39,11","9,16","31,44","8,75"
N/A,PLM-275P-60,275,"38,49","9,16","31,54","8,72"
N/A,PLM-275PB-60,275,"38,49","9,16","31,54","8,72"
N/A,PLM-280M-60,280,"39,24","9,24","31,64","8,85"
N/A,PLM-280MB-60,280,"39,24","9,24","31,64","8,85"
N/A,PLM-280P-60,280,"38,81","9,21","31,86","8,79"
N/A,PLM-280PB-60,280,"38,81","9,21","31,86","8,79"
N/A,PLM-285M-60,285,"39,35","9,36","31,78","8,97"
N/A,PLM-285MB-60,285,"39,35","9,36","31,78","8,97"
N/A,PLM-285MB-60,285,"39,35","9,36","31,78","8,97"
N/A,PLM-290M-60,290,"39,35","9,36","31,98","8,98"
N/A,PLM-290MB-60,290,"39,35","9,36","31,98","8,98"
N/A,PLM-295MB-60,295,"37,18","10,08","30,93","9,54"
N/A,PLM-300/24,300,"44,6","8,82","37,5","7,98"
N/A,PLM-300M-72,300,"45,6","8,78","36,59","8,2"
N/A,PLM-300MB-72,300,"45,6","8,78","36,59","8,2"
N/A,PLM-300P-72,300,"45,2","8,73","36,41","8,24"
N/A,PLM-300PB-72,300,"45,2","8,73","36,41","8,24"
N/A,PLM-305M-72,305,"45,7","8,82","37,02","8,24"
N/A,PLM-305MB-72,305,"45,7","8,82","37,02","8,24"
N/A,PLM-305MB-72,305,"45,7","8,82","37,02","8,24"
N/A,PLM-305P-72,300,"45,2","8,73","36,41","8,24"
N/A,PLM-305PB-72,300,"45,2","8,73","36,41","8,24"
N/A,PLM-310M-72,310,"45,81","8,87","37,31","8,31"
N/A,PLM-310MB-72,310,"45,81","8,87","37,31","8,31"
N/A,PLM-310P-72,310,"45,45","8,85",37,"8,38"
N/A,PLM-310PB-72,310,"45,45","8,85",37,"8,38"
N/A,PLM-315M-72,315,"45,91","8,94","37,64","8,37"
N/A,PLM-315MB-72,315,"45,91","8,94","37,64","8,37"
N/A,PLM-315P-72,315,"45,6","8,91","37,28","8,45"
N/A,PLM-315PB-72,315,"45,6","8,91","37,28","8,45"
N/A,PLM-320M-72,320,"46,01","8,97","37,79","8,47"
N/A,PLM-320MB-72,320,"46,01","8,97","37,79","8,47"
N/A,PLM-320P-72,320,"45,82","9,03","37,56","8,52"
N/A,PLM-320PB-72,320,"45,82","9,03","37,56","8,52"
N/A,PLM-325M-72,325,"46,26","9,01","37,93","8,57"
N/A,PLM-325MB-72,325,"46,26","9,01","37,93","8,57"
N/A,PLM-325MB-72,325,"46,26","9,01","37,93","8,57"
N/A,PLM-325P-72,325,"46,08","9,08","37,8","8,6"
N/A,PLM-325PB-72,325,"46,08","9,08","37,8","8,6"
N/A,PLM-330M-72,330,"46,93","9,16","37,72","8,75"
N/A,PLM-330M-72,330,"46,93","9,16","37,72","8,75"
N/A,PLM-330MB-72,330,"46,93","9,16","37,72","8,75"
N/A,PLM-330MB-72,330,"46,93","9,16","37,72","8,75"
N/A,PLM-330P-72,330,"46,41","9,13","38,07","8,67"
N/A,PLM-330P-72,330,"46,83","9,16","38,07","8,67"
N/A,PLM-330PB-72,330,"46,41","9,13","38,07","8,67"
N/A,PLM-370H6MB-120,370,"40,81","11,33","34,01","10,88"
N/A,PLM-400H8MB-108,400,"37,21","13,67","31,18","12,83"
N/A,PLM-400OM2B-66,400,"49,5","10,12",41,"9,76"
N/A,PLM-415OM6B-60,415,"46,7","11,12","38,9","10,67"
N/A,PLM-425OM10A-44B ,425,"41,7","13,03","34,6","12,3"
N/A,PLM-430H8NB-108,430,"38,4","14,21","31,99","13,44"
N/A,PLM-450H6MB-144,450,"50,2","11,2","41,82","10,76"
N/A,PLM-P220/20,220,"36,8",8,"29,8","7,39"
N/A,PLM-P235/20,235,"36,9","8,65","30,6","7,68"
N/A,PLM 090/12,90,"22,2","5,3","18,4","4,9"
N/A,PLM 095/12,95,"22,4","5,48","18,7","5,08"
N/A,PLM 100/12,100,"22,5","5,75","18,9","5,29"
N/A,PLM 140/12,140,"22,3","8,45",18,"7,78"
N/A,PLM 145/12,145,"22,3","8,69","18,1","8,01"
N/A,PLM 185/24,185,"44,6","5,46","36,8","5,03"
N/A,PLM 190/24,190,"44,4","5,57","37,1","5,12"
N/A,PLM 195/24,195,"44,5","5,6","37,3","5,22"
N/A,PLM 200/24,200,"44,6","5,72","37,6","5,32"
N/A,PLM 230/20,230,"36,75","8,57","30,48","7,55"
N/A,PLM 240/20,240,"36,9","8,73","30,07","7,81"
N/A,PLM 245/20,250,37,"8,82",31,"7,9"
N/A,PLM 250/20,250,"37,1","8,97","31,1","8,03"
N/A,PLM 280/24,280,"44,2","8,32","35,9","7,73"
N/A,PLM 300/24,300,"45,3","8,52","37,6","7,98"
N/A,PLM P120/12,120,"22,5","6,98","18,4","6,25"
N/A,PLM P285/24,285,"44,4","8,2","36,8","7,8"
N/A,plus 180 (175 wp),175,"24,5","9,7","19,7","8,88"
N/A,plus 180 (180 wp),180,"24,6",10,"19,8","9,09"
N/A,PM0200,200,36,"7,4","29,6","6,8"
N/A,PM0220,220,36,"8,2","29,6","7,4"
N/A,PM0230,230,"37,26","7,96","30,84","7,48"
N/A,PM060MB0 270W,270,"38,5","9,01","31,8","8,5"
N/A,PM060MB0 275W,275,"38,7","9,03","32,3","8,52"
N/A,PM060MB0 280W,280,"38,9","9,06","32,7","8,57"
N/A,PM060MB2 275W,275,"37,58","9,46",31,"8,88"
N/A,PM060MB2 280W,280,"38,6","9,58","31,2","8,98"
N/A,PM060MB2 285W,285,"38,8","9,65","31,4","9,08"
N/A,PM060MW0 270W,270,"38,5","9,01","31,8","8,5"
N/A,PM060MW0 275W,275,"38,7","9,03","32,3","8,52"
N/A,PM060MW0 280W,280,"38,9","9,06","32,7","8,57"
N/A,PM060MW1 280W,280,"39,6","9,78","30,7","9,13"
N/A,PM060MW1 285W,285,40,"9,8",31,"9,2"
N/A,PM060MW1 290W,290,"40,4","9,82","31,3","9,27"
N/A,PM060MW2 275W,275,"38,4","9,46",31,"8,88"
N/A,PM060MW2 280W,280,"38,6","9,58","31,2","8,98"
N/A,PM060MW2 285W,285,"38,8","9,65","31,4","9,08"
N/A,PM060P00 255 Wp,255,"37,6","8,76","30,8","8,28"
N/A,PM060P00 260 Wp,260,"37,7","8,83","31,2","8,34"
N/A,PM060P00 265 Wp,265,"37,9","8,89","31,6","8,36"
N/A,PM060PW0 250W,250,"37,4","8,69","30,6","8,17"
N/A,PM060PW0 255W,255,"37,6","8,76","30,8","8,28"
N/A,PM060PW0 260W,260,"37,7","8,83","31,2","8,34"
N/A,PM060PW0 265W,265,"37,9","8,89","31,7","8,36"
N/A,PM060PW1 250W,250,"37,4","8,69","30,6","8,17"
N/A,PM060PW1 255W,255,"37,6","8,76","30,8","8,28"
N/A,PM060PW1 260W,260,"37,7","8,83","31,2","8,34"
N/A,PM060PW1 265W,265,"37,9","8,89","31,7","8,36"
N/A,PM060PWA 250W,250,"37,7","8,53","30,4","8,22"
N/A,PM060PWA 255W,255,"37,9","8,62","30,6","8,31"
N/A,PM060PWA 260W,260,"38,2","8,7","30,8","8,42"
N/A,PM060PWB 250W,250,"37,7","8,53","30,4","8,22"
N/A,PM060PWB 255W,255,"37,9","8,62","30,6","8,31"
N/A,PM060PWB 260W,260,"38,1","8,95","30,8","8,45"
N/A,PM060PWB 265W,265,"38,2","8,99",31,"8,55"
N/A,PM060PWB 270W,270,"38,2","9,07","31,2","8,64"
N/A,PM072MW0 320W,320,"46,3","8,9","38,6","8,3"
N/A,PM072MW0 325W,325,"46,9",9,"38,7","8,4"
N/A,PM072MW0 330W,330,"46,9",9,"39,3","8,4"
N/A,PM072PW0 300W,300,"45,4","8,8","36,6","8,19"
N/A,PM072PW0 305W,305,"45,7","8,89",37,"8,25"
N/A,PM072PW0 310W,310,46,"8,98","37,3","8,3"
N/A,PM072PW0 315W,315,"46,2","9,09","37,6","8,38"
N/A,PM072PWA 310W,310,"45,5","8,85",37,"8,38"
N/A,PM072PWA 315W,315,"45,6",9,"37,1","8,51"
N/A,PM072PWA 320W,320,"45,7","9,04","37,3","8,58"
N/A,PM096B00 320W,320,"64,8","6,27","54,7","5,86"
N/A,PM096B00 325W,325,"64,9","6,39","54,7","5,94"
N/A,PM096B00 327W,327,"64,9","6,46","54,7","5,98"
N/A,PM096B00 330W,330,"64,9","6,52","54,7","6,04"
N/A,PM096B00 333W,333,"64,9","6,58","54,7","6,09"
N/A,PM096B00 335W,335,"64,9","6,62","54,7","6,13"
N/A,PM200M00 200 Wp,200,"30,4","8,76","23,9","8,37"
N/A,PM200M00 205 Wp,205,"30,5","8,84","24,1","8,51"
